Year,Grade,Competition,Venue,Match Date,Result,Man of the Match,Player,Captain,Batting Order
2024,F Grade,MID-YEAR T20 F GRADE,BALDIVIS DISTRICT SPORTING COMPLEX,2024-12-21,Halls Head 2/140 def WHITE KNIGHTS BALDIVIS T20 F GRADE BLUE 4/111,,SHREYAS DIGHE,,11
2024,F Grade,MID-YEAR T20 F GRADE,BALDIVIS DISTRICT SPORTING COMPLEX,2024-12-21,Halls Head 2/140 def WHITE KNIGHTS BALDIVIS T20 F GRADE BLUE 4/111,,TYLER BACON,,12
2024,PPL,RETRAVISION T20 PEEL PREMIER LEAGUE,PEELWOOD RESERVE OVAL 1,2024-03-05,Halls Head 7/148 def SENIOR MEN PREMIER T20 6/125,,AARON BURRAGE,,1
2024,PPL,RETRAVISION T20 PEEL PREMIER LEAGUE,PEELWOOD RESERVE OVAL 1,2024-03-05,Halls Head 7/148 def SENIOR MEN PREMIER T20 6/125,,ALEX OSBORNE,,2
2024,PPL,RETRAVISION T20 PEEL PREMIER LEAGUE,PEELWOOD RESERVE OVAL 1,2024-03-05,Halls Head 7/148 def SENIOR MEN PREMIER T20 6/125,,ANGUS BEATTIE,,3
2024,PPL,RETRAVISION T20 PEEL PREMIER LEAGUE,PEELWOOD RESERVE OVAL 1,2024-03-05,Halls Head 7/148 def SENIOR MEN PREMIER T20 6/125,,BRYCE JEFFREY,,4
2024,PPL,RETRAVISION T20 PEEL PREMIER LEAGUE,PEELWOOD RESERVE OVAL 1,2024-03-05,Halls Head 7/148 def SENIOR MEN PREMIER T20 6/125,,JACK MANUEL,,5
2024,PPL,RETRAVISION T20 PEEL PREMIER LEAGUE,PEELWOOD RESERVE OVAL 1,2024-03-05,Halls Head 7/148 def SENIOR MEN PREMIER T20 6/125,,JAKE PATTISON,,6
2024,PPL,RETRAVISION T20 PEEL PREMIER LEAGUE,PEELWOOD RESERVE OVAL 1,2024-03-05,Halls Head 7/148 def SENIOR MEN PREMIER T20 6/125,,JAKE WYLLIE,,7
2024,PPL,RETRAVISION T20 PEEL PREMIER LEAGUE,PEELWOOD RESERVE OVAL 1,2024-03-05,Halls Head 7/148 def SENIOR MEN PREMIER T20 6/125,,JAROD LITTLE,,8
2024,PPL,RETRAVISION T20 PEEL PREMIER LEAGUE,PEELWOOD RESERVE OVAL 1,2024-03-05,Halls Head 7/148 def SENIOR MEN PREMIER T20 6/125,,JOSH RUDGE,,9
2024,PPL,RETRAVISION T20 PEEL PREMIER LEAGUE,PEELWOOD RESERVE OVAL 1,2024-03-05,Halls Head 7/148 def SENIOR MEN PREMIER T20 6/125,,KEELAN BEATTIE,,10
2024,PPL,RETRAVISION T20 PEEL PREMIER LEAGUE,PEELWOOD RESERVE OVAL 1,2024-03-05,Halls Head 7/148 def SENIOR MEN PREMIER T20 6/125,,SCOTT MARTIN,,11
2024,PPL,RETRAVISION T20 PEEL PREMIER LEAGUE,PEELWOOD RESERVE OVAL 1,2024-03-05,Halls Head 7/148 def SENIOR MEN PREMIER T20 6/125,,TIMOTHY MILES,,12
2025,B Grade,B GRADE McINTOSH CUP,PEELWOOD RESERVE,2025-03-22,Halls Head 7/215 def SHDCC SENIOR MEN B GRADE 205,Angus Kent,ANGUS KENT,,1
2025,B Grade,B GRADE McINTOSH CUP,PEELWOOD RESERVE,2025-03-22,Halls Head 7/215 def SHDCC SENIOR MEN B GRADE 205,Angus Kent,CRAIG FORD,Yes,2
2025,B Grade,B GRADE McINTOSH CUP,PEELWOOD RESERVE,2025-03-22,Halls Head 7/215 def SHDCC SENIOR MEN B GRADE 205,Angus Kent,HUDSON MALINGRE,,3
2025,B Grade,B GRADE McINTOSH CUP,PEELWOOD RESERVE,2025-03-22,Halls Head 7/215 def SHDCC SENIOR MEN B GRADE 205,Angus Kent,JACOB BARNES,,4
2025,B Grade,B GRADE McINTOSH CUP,PEELWOOD RESERVE,2025-03-22,Halls Head 7/215 def SHDCC SENIOR MEN B GRADE 205,Angus Kent,JAMES SKEELS,,5
2025,B Grade,B GRADE McINTOSH CUP,PEELWOOD RESERVE,2025-03-22,Halls Head 7/215 def SHDCC SENIOR MEN B GRADE 205,Angus Kent,JEFFREY PETRIE,,6
2025,B Grade,B GRADE McINTOSH CUP,PEELWOOD RESERVE,2025-03-22,Halls Head 7/215 def SHDCC SENIOR MEN B GRADE 205,Angus Kent,JOSHUA FOUREZ,,7
2025,B Grade,B GRADE McINTOSH CUP,PEELWOOD RESERVE,2025-03-22,Halls Head 7/215 def SHDCC SENIOR MEN B GRADE 205,Angus Kent,KYLE JEFFREY,,8
2025,B Grade,B GRADE McINTOSH CUP,PEELWOOD RESERVE,2025-03-22,Halls Head 7/215 def SHDCC SENIOR MEN B GRADE 205,Angus Kent,RYLAN ARMS,,9
2025,B Grade,B GRADE McINTOSH CUP,PEELWOOD RESERVE,2025-03-22,Halls Head 7/215 def SHDCC SENIOR MEN B GRADE 205,Angus Kent,THOMAS SMITH,,10
2025,B Grade,B GRADE McINTOSH CUP,PEELWOOD RESERVE,2025-03-22,Halls Head 7/215 def SHDCC SENIOR MEN B GRADE 205,Angus Kent,WES NAIDOO,,11
2025,B Grade,B GRADE McINTOSH CUP,PEELWOOD RESERVE,2025-03-22,Halls Head 7/215 def SHDCC SENIOR MEN B GRADE 205,Angus Kent,ZACHARY DRECKOW,,12
2025,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE OVAL 2,2025-12-20,Halls Head 5/127 def WHITE KNIGHTS BALDIVIS T20 D GRADE BLUE 2/125,,ALEC SMITH,,1
2025,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE OVAL 2,2025-12-20,Halls Head 5/127 def WHITE KNIGHTS BALDIVIS T20 D GRADE BLUE 2/125,,CAMERON HILL,,2
2025,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE OVAL 2,2025-12-20,Halls Head 5/127 def WHITE KNIGHTS BALDIVIS T20 D GRADE BLUE 2/125,,ELIGH FRUNKS,,3
2025,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE OVAL 2,2025-12-20,Halls Head 5/127 def WHITE KNIGHTS BALDIVIS T20 D GRADE BLUE 2/125,,ELLIOT FOOTE,,4
2025,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE OVAL 2,2025-12-20,Halls Head 5/127 def WHITE KNIGHTS BALDIVIS T20 D GRADE BLUE 2/125,,GRANT MATTHEWS,,5
2025,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE OVAL 2,2025-12-20,Halls Head 5/127 def WHITE KNIGHTS BALDIVIS T20 D GRADE BLUE 2/125,,JAKE BENNETT,,6
2025,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE OVAL 2,2025-12-20,Halls Head 5/127 def WHITE KNIGHTS BALDIVIS T20 D GRADE BLUE 2/125,,JASON YOUNG,,7
2025,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE OVAL 2,2025-12-20,Halls Head 5/127 def WHITE KNIGHTS BALDIVIS T20 D GRADE BLUE 2/125,,KYLE JEFFREY,,8
2025,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE OVAL 2,2025-12-20,Halls Head 5/127 def WHITE KNIGHTS BALDIVIS T20 D GRADE BLUE 2/125,,MICHAEL NIVEN,,9
2025,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE OVAL 2,2025-12-20,Halls Head 5/127 def WHITE KNIGHTS BALDIVIS T20 D GRADE BLUE 2/125,,PETER WALSH,,10
2025,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE OVAL 2,2025-12-20,Halls Head 5/127 def WHITE KNIGHTS BALDIVIS T20 D GRADE BLUE 2/125,,RUSSELL MOFFAT,,11
2025,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE OVAL 2,2025-12-20,Halls Head 5/127 def WHITE KNIGHTS BALDIVIS T20 D GRADE BLUE 2/125,,TAJ DePEDRO,,12
2025,Female A Grade,MID-YEAR T20 FEMALE A GRADE,BALDIVIS TURF,2025-12-20,Halls Head 6/100 def WHITE KNIGHTS BALDIVIS T20 FEMALE A 9/76,,AIMEE LATHAM,,1
2025,Female A Grade,MID-YEAR T20 FEMALE A GRADE,BALDIVIS TURF,2025-12-20,Halls Head 6/100 def WHITE KNIGHTS BALDIVIS T20 FEMALE A 9/76,,CHLOE GUYTON,,2
2025,Female A Grade,MID-YEAR T20 FEMALE A GRADE,BALDIVIS TURF,2025-12-20,Halls Head 6/100 def WHITE KNIGHTS BALDIVIS T20 FEMALE A 9/76,,CLAIRE LITCHFIELD,,3
2025,Female A Grade,MID-YEAR T20 FEMALE A GRADE,BALDIVIS TURF,2025-12-20,Halls Head 6/100 def WHITE KNIGHTS BALDIVIS T20 FEMALE A 9/76,,ELLIE LOVELL,,4
2025,Female A Grade,MID-YEAR T20 FEMALE A GRADE,BALDIVIS TURF,2025-12-20,Halls Head 6/100 def WHITE KNIGHTS BALDIVIS T20 FEMALE A 9/76,,EVE POWELL,,5
2025,Female A Grade,MID-YEAR T20 FEMALE A GRADE,BALDIVIS TURF,2025-12-20,Halls Head 6/100 def WHITE KNIGHTS BALDIVIS T20 FEMALE A 9/76,,JESSICA BRADLEY,Yes,6
2025,Female A Grade,MID-YEAR T20 FEMALE A GRADE,BALDIVIS TURF,2025-12-20,Halls Head 6/100 def WHITE KNIGHTS BALDIVIS T20 FEMALE A 9/76,,KAYLEE ASHFORD,,7
2025,Female A Grade,MID-YEAR T20 FEMALE A GRADE,BALDIVIS TURF,2025-12-20,Halls Head 6/100 def WHITE KNIGHTS BALDIVIS T20 FEMALE A 9/76,,SABRINA EVANS,,8
2025,Female A Grade,MID-YEAR T20 FEMALE A GRADE,BALDIVIS TURF,2025-12-20,Halls Head 6/100 def WHITE KNIGHTS BALDIVIS T20 FEMALE A 9/76,,SARA WALSH,,9
2025,Female A Grade,MID-YEAR T20 FEMALE A GRADE,BALDIVIS TURF,2025-12-20,Halls Head 6/100 def WHITE KNIGHTS BALDIVIS T20 FEMALE A 9/76,,SOPHIE TERRELL,,10
2025,Female A Grade,MID-YEAR T20 FEMALE A GRADE,BALDIVIS TURF,2025-12-20,Halls Head 6/100 def WHITE KNIGHTS BALDIVIS T20 FEMALE A 9/76,,TAHLIA HEAD,,11
2025,Female A Grade,MID-YEAR T20 FEMALE A GRADE,BALDIVIS TURF,2025-12-20,Halls Head 6/100 def WHITE KNIGHTS BALDIVIS T20 FEMALE A 9/76,,TIANA ARROWSMITH,,12
2026,B Grade,B GRADE McINTOSH CUP,STAN TWIGHT RESERVE OVAL #2,2026-03-21,Halls Head 6/145 def WHITE KNIGHTS BALDIVIS B GRADE 140,,ANGUS KENT,,1
2026,B Grade,B GRADE McINTOSH CUP,STAN TWIGHT RESERVE OVAL #2,2026-03-21,Halls Head 6/145 def WHITE KNIGHTS BALDIVIS B GRADE 140,,ANTHONY BROKATE,,2
2026,B Grade,B GRADE McINTOSH CUP,STAN TWIGHT RESERVE OVAL #2,2026-03-21,Halls Head 6/145 def WHITE KNIGHTS BALDIVIS B GRADE 140,,CHRIS PHELPS,,3
2026,B Grade,B GRADE McINTOSH CUP,STAN TWIGHT RESERVE OVAL #2,2026-03-21,Halls Head 6/145 def WHITE KNIGHTS BALDIVIS B GRADE 140,,CRAIG FORD,Yes,4
2026,B Grade,B GRADE McINTOSH CUP,STAN TWIGHT RESERVE OVAL #2,2026-03-21,Halls Head 6/145 def WHITE KNIGHTS BALDIVIS B GRADE 140,,FREDDIE HIGTON,,5
2026,B Grade,B GRADE McINTOSH CUP,STAN TWIGHT RESERVE OVAL #2,2026-03-21,Halls Head 6/145 def WHITE KNIGHTS BALDIVIS B GRADE 140,,HUDSON MALINGRE,,6
2026,B Grade,B GRADE McINTOSH CUP,STAN TWIGHT RESERVE OVAL #2,2026-03-21,Halls Head 6/145 def WHITE KNIGHTS BALDIVIS B GRADE 140,,JAMES SKEELS,,7
2026,B Grade,B GRADE McINTOSH CUP,STAN TWIGHT RESERVE OVAL #2,2026-03-21,Halls Head 6/145 def WHITE KNIGHTS BALDIVIS B GRADE 140,,JASON R DAVEY,,8
2026,B Grade,B GRADE McINTOSH CUP,STAN TWIGHT RESERVE OVAL #2,2026-03-21,Halls Head 6/145 def WHITE KNIGHTS BALDIVIS B GRADE 140,,JEFFREY PETRIE,,9
2026,B Grade,B GRADE McINTOSH CUP,STAN TWIGHT RESERVE OVAL #2,2026-03-21,Halls Head 6/145 def WHITE KNIGHTS BALDIVIS B GRADE 140,,OSCAR SMITH,,10
2026,B Grade,B GRADE McINTOSH CUP,STAN TWIGHT RESERVE OVAL #2,2026-03-21,Halls Head 6/145 def WHITE KNIGHTS BALDIVIS B GRADE 140,,RYLAN ARMS,,11
2026,B Grade,B GRADE McINTOSH CUP,STAN TWIGHT RESERVE OVAL #2,2026-03-21,Halls Head 6/145 def WHITE KNIGHTS BALDIVIS B GRADE 140,,ZACHARY DRECKOW,,12
2026,D Grade,D GRADE RITCHIE CUP,RHONDA SCARROTT RESERVE,2026-03-21,Halls Head 5/124 def MCC SENIOR MEN D GRADE 118,Cameron Lucas,ALEC SMITH,,1
2026,D Grade,D GRADE RITCHIE CUP,RHONDA SCARROTT RESERVE,2026-03-21,Halls Head 5/124 def MCC SENIOR MEN D GRADE 118,Cameron Lucas,ARCHIE NICHOLSON,,2
2026,D Grade,D GRADE RITCHIE CUP,RHONDA SCARROTT RESERVE,2026-03-21,Halls Head 5/124 def MCC SENIOR MEN D GRADE 118,Cameron Lucas,CAMERON HILL,,3
2026,D Grade,D GRADE RITCHIE CUP,RHONDA SCARROTT RESERVE,2026-03-21,Halls Head 5/124 def MCC SENIOR MEN D GRADE 118,Cameron Lucas,CAMERON LUCAS,,4
2026,D Grade,D GRADE RITCHIE CUP,RHONDA SCARROTT RESERVE,2026-03-21,Halls Head 5/124 def MCC SENIOR MEN D GRADE 118,Cameron Lucas,CAMPBELL LOCKYER,,5
2026,D Grade,D GRADE RITCHIE CUP,RHONDA SCARROTT RESERVE,2026-03-21,Halls Head 5/124 def MCC SENIOR MEN D GRADE 118,Cameron Lucas,ELLIOT FOOTE,,6
2026,D Grade,D GRADE RITCHIE CUP,RHONDA SCARROTT RESERVE,2026-03-21,Halls Head 5/124 def MCC SENIOR MEN D GRADE 118,Cameron Lucas,GRANT PATTISON,,7
2026,D Grade,D GRADE RITCHIE CUP,RHONDA SCARROTT RESERVE,2026-03-21,Halls Head 5/124 def MCC SENIOR MEN D GRADE 118,Cameron Lucas,HUGO YOUNG,,8
2026,D Grade,D GRADE RITCHIE CUP,RHONDA SCARROTT RESERVE,2026-03-21,Halls Head 5/124 def MCC SENIOR MEN D GRADE 118,Cameron Lucas,KYLE JEFFREY,,9
2026,D Grade,D GRADE RITCHIE CUP,RHONDA SCARROTT RESERVE,2026-03-21,Halls Head 5/124 def MCC SENIOR MEN D GRADE 118,Cameron Lucas,MICHAEL NIVEN,,10
2026,D Grade,D GRADE RITCHIE CUP,RHONDA SCARROTT RESERVE,2026-03-21,Halls Head 5/124 def MCC SENIOR MEN D GRADE 118,Cameron Lucas,RORY COLLINS,,11
2026,D Grade,D GRADE RITCHIE CUP,RHONDA SCARROTT RESERVE,2026-03-21,Halls Head 5/124 def MCC SENIOR MEN D GRADE 118,Cameron Lucas,RUSSELL MOFFAT,Yes,12
2026,E Grade,E GRADE,EAST OVAL - TANGADEE,2026-03-21,Halls Head 6/118 def PINJARRA E GRADE 116,Peter Boyce,BRADLEY LEE,,1
2026,E Grade,E GRADE,EAST OVAL - TANGADEE,2026-03-21,Halls Head 6/118 def PINJARRA E GRADE 116,Peter Boyce,CORBIN LITTLE,,2
2026,E Grade,E GRADE,EAST OVAL - TANGADEE,2026-03-21,Halls Head 6/118 def PINJARRA E GRADE 116,Peter Boyce,DARREN JEFFREY,,3
2026,E Grade,E GRADE,EAST OVAL - TANGADEE,2026-03-21,Halls Head 6/118 def PINJARRA E GRADE 116,Peter Boyce,GEORGE YOUNG,,4
2026,E Grade,E GRADE,EAST OVAL - TANGADEE,2026-03-21,Halls Head 6/118 def PINJARRA E GRADE 116,Peter Boyce,GRANT MATTHEWS,,5
2026,E Grade,E GRADE,EAST OVAL - TANGADEE,2026-03-21,Halls Head 6/118 def PINJARRA E GRADE 116,Peter Boyce,JAKE BENNETT,,6
2026,E Grade,E GRADE,EAST OVAL - TANGADEE,2026-03-21,Halls Head 6/118 def PINJARRA E GRADE 116,Peter Boyce,JASON YOUNG,,7
2026,E Grade,E GRADE,EAST OVAL - TANGADEE,2026-03-21,Halls Head 6/118 def PINJARRA E GRADE 116,Peter Boyce,MATTHEW GUYTON,Yes,8
2026,E Grade,E GRADE,EAST OVAL - TANGADEE,2026-03-21,Halls Head 6/118 def PINJARRA E GRADE 116,Peter Boyce,MICHAEL GRIFFITHS,,9
2026,E Grade,E GRADE,EAST OVAL - TANGADEE,2026-03-21,Halls Head 6/118 def PINJARRA E GRADE 116,Peter Boyce,PETER BOYCE,,10
2026,E Grade,E GRADE,EAST OVAL - TANGADEE,2026-03-21,Halls Head 6/118 def PINJARRA E GRADE 116,Peter Boyce,PETER WALSH,,11
2026,E Grade,E GRADE,EAST OVAL - TANGADEE,2026-03-21,Halls Head 6/118 def PINJARRA E GRADE 116,Peter Boyce,SCOTT MARTIN,,12
2026,Peel Premier League,Grand Final,Peelwood Reserve Turf,2026-03-10,Halls Head 6/167 def Pinjarra 9/137,Timothy Miles,TIMOTHY MILES,,1
2026,Peel Premier League,Grand Final,Peelwood Reserve Turf,2026-03-10,Halls Head 6/167 def Pinjarra 9/137,Timothy Miles,BROCK LARANCE,,2
2026,Peel Premier League,Grand Final,Peelwood Reserve Turf,2026-03-10,Halls Head 6/167 def Pinjarra 9/137,Timothy Miles,DAMIEN BURRAGE,,3
2026,Peel Premier League,Grand Final,Peelwood Reserve Turf,2026-03-10,Halls Head 6/167 def Pinjarra 9/137,Timothy Miles,JACK MANUEL,Yes,4
2026,Peel Premier League,Grand Final,Peelwood Reserve Turf,2026-03-10,Halls Head 6/167 def Pinjarra 9/137,Timothy Miles,JOSH RUDGE,,5
2026,Peel Premier League,Grand Final,Peelwood Reserve Turf,2026-03-10,Halls Head 6/167 def Pinjarra 9/137,Timothy Miles,BEN HIGTON,,6
2026,Peel Premier League,Grand Final,Peelwood Reserve Turf,2026-03-10,Halls Head 6/167 def Pinjarra 9/137,Timothy Miles,JAKE WYLLIE,,7
2026,Peel Premier League,Grand Final,Peelwood Reserve Turf,2026-03-10,Halls Head 6/167 def Pinjarra 9/137,Timothy Miles,JAROD LITTLE,,8
2026,Peel Premier League,Grand Final,Peelwood Reserve Turf,2026-03-10,Halls Head 6/167 def Pinjarra 9/137,Timothy Miles,JETT DEMMERY,,9
2026,Peel Premier League,Grand Final,Peelwood Reserve Turf,2026-03-10,Halls Head 6/167 def Pinjarra 9/137,Timothy Miles,LUCA DOYLE,,10
2026,Peel Premier League,Grand Final,Peelwood Reserve Turf,2026-03-10,Halls Head 6/167 def Pinjarra 9/137,Timothy Miles,MITCHELL FELTON,,11
2026,Peel Premier League,Grand Final,Peelwood Reserve Turf,2026-03-10,Halls Head 6/167 def Pinjarra 9/137,Timothy Miles,JAKE PATTISON,,12
