Year,Grade,Competition,Venue,Match Date,Result,Man of the Match,Player,Captain,Batting Order
2001,A Grade,A GRADE,PEELWOOD #1,2001-03-31,Halls Head 137 def WAROONA 106,DALE BURNS,RIAN ELLIOT,,5
2001,A Grade,A GRADE,PEELWOOD #1,2001-03-31,Halls Head 137 def WAROONA 106,DALE BURNS,NIGEL COE,,6
2001,A Grade,A GRADE,PEELWOOD #1,2001-03-31,Halls Head 137 def WAROONA 106,DALE BURNS,PAUL GILLAM,,7
2001,A Grade,A GRADE,PEELWOOD #1,2001-03-31,Halls Head 137 def WAROONA 106,DALE BURNS,MARK ROWE,,8
2001,A Grade,A GRADE,PEELWOOD #1,2001-03-31,Halls Head 137 def WAROONA 106,DALE BURNS,RON COLES,,9
2001,A Grade,A GRADE,PEELWOOD #1,2001-03-31,Halls Head 137 def WAROONA 106,DALE BURNS,WAYNE REID,,10
2001,A Grade,A GRADE,PEELWOOD #1,2001-03-31,Halls Head 137 def WAROONA 106,DALE BURNS,ALLAN WILLEY,,11
2001,A Grade,A GRADE,PEELWOOD #1,2001-03-31,Halls Head 137 def WAROONA 106,DALE BURNS,ROGER WREN,,12
2001,B Grade,B GRADE,PEELWOOD #2,2001-03-31,Halls Head 2/134 def OLD IRWINIANS 132,RAY SMEDLEY,CHRIS BAKER,,1
2001,B Grade,B GRADE,PEELWOOD #2,2001-03-31,Halls Head 2/134 def OLD IRWINIANS 132,RAY SMEDLEY,AARON FITZPATRICK,,2
2001,B Grade,B GRADE,PEELWOOD #2,2001-03-31,Halls Head 2/134 def OLD IRWINIANS 132,RAY SMEDLEY,PETER RADCLIFFE,,3
2001,B Grade,B GRADE,PEELWOOD #2,2001-03-31,Halls Head 2/134 def OLD IRWINIANS 132,RAY SMEDLEY,RAY SMEDLEY,,4
2001,B Grade,B GRADE,PEELWOOD #2,2001-03-31,Halls Head 2/134 def OLD IRWINIANS 132,RAY SMEDLEY,IAN BRAY,,5
2001,B Grade,B GRADE,PEELWOOD #2,2001-03-31,Halls Head 2/134 def OLD IRWINIANS 132,RAY SMEDLEY,DON SKIPWORTH,,6
2001,B Grade,B GRADE,PEELWOOD #2,2001-03-31,Halls Head 2/134 def OLD IRWINIANS 132,RAY SMEDLEY,ROB LAWSON,,7
2001,B Grade,B GRADE,PEELWOOD #2,2001-03-31,Halls Head 2/134 def OLD IRWINIANS 132,RAY SMEDLEY,BRIAN O'DONNELL,,8
2001,B Grade,B GRADE,PEELWOOD #2,2001-03-31,Halls Head 2/134 def OLD IRWINIANS 132,RAY SMEDLEY,JUSTIN LOCKYER,Yes,9
2001,B Grade,B GRADE,PEELWOOD #2,2001-03-31,Halls Head 2/134 def OLD IRWINIANS 132,RAY SMEDLEY,BRIAN CULLEN,,10
2001,B Grade,B GRADE,PEELWOOD #2,2001-03-31,Halls Head 2/134 def OLD IRWINIANS 132,RAY SMEDLEY,MATT BLACKWELL,,11
2001,B Grade,B GRADE,PEELWOOD #2,2001-03-31,Halls Head 2/134 def OLD IRWINIANS 132,RAY SMEDLEY,CHRIS HICKMAN,,12
2002,A Grade,A GRADE,WARNBRO #1,2002-03-23,Halls Head 8/215 def MANDURAH 196,PETER WYLLIE,DALE BURNS,,1
2002,A Grade,A GRADE,WARNBRO #1,2002-03-23,Halls Head 8/215 def MANDURAH 196,PETER WYLLIE,PETER RADCLIFFE,,2
2002,A Grade,A GRADE,WARNBRO #1,2002-03-23,Halls Head 8/215 def MANDURAH 196,PETER WYLLIE,LEIGH BURNS,Yes,3
2002,A Grade,A GRADE,WARNBRO #1,2002-03-23,Halls Head 8/215 def MANDURAH 196,PETER WYLLIE,CHRIS PHELPS,,4
2002,A Grade,A GRADE,WARNBRO #1,2002-03-23,Halls Head 8/215 def MANDURAH 196,PETER WYLLIE,PETER WYLLIE,,5
2002,A Grade,A GRADE,WARNBRO #1,2002-03-23,Halls Head 8/215 def MANDURAH 196,PETER WYLLIE,RON COLES,,6
2002,A Grade,A GRADE,WARNBRO #1,2002-03-23,Halls Head 8/215 def MANDURAH 196,PETER WYLLIE,MARK ROWE,,7
2002,A Grade,A GRADE,WARNBRO #1,2002-03-23,Halls Head 8/215 def MANDURAH 196,PETER WYLLIE,WAYNE REID,,8
2002,A Grade,A GRADE,WARNBRO #1,2002-03-23,Halls Head 8/215 def MANDURAH 196,PETER WYLLIE,ALLAN WILLEY,,9
2002,A Grade,A GRADE,WARNBRO #1,2002-03-23,Halls Head 8/215 def MANDURAH 196,PETER WYLLIE,ROGER WREN,,10
2002,A Grade,A GRADE,WARNBRO #1,2002-03-23,Halls Head 8/215 def MANDURAH 196,PETER WYLLIE,DARRYL MORGAN,,11
2002,A Grade,A GRADE,WARNBRO #1,2002-03-23,Halls Head 8/215 def MANDURAH 196,PETER WYLLIE,DALE GUMBLETON,,12
2002,B Grade,B GRADE,WARNBRO #2,2002-03-23,Halls Head 134 def SHOALWATER 89,BRIAN CULLEN,RAY SMEDLEY,,1
2002,B Grade,B GRADE,WARNBRO #2,2002-03-23,Halls Head 134 def SHOALWATER 89,BRIAN CULLEN,BRAD SMITH,,2
2002,B Grade,B GRADE,WARNBRO #2,2002-03-23,Halls Head 134 def SHOALWATER 89,BRIAN CULLEN,MARK CHAPELHOW,,3
2002,B Grade,B GRADE,WARNBRO #2,2002-03-23,Halls Head 134 def SHOALWATER 89,BRIAN CULLEN,BRIAN O'DONNELL,,4
2002,B Grade,B GRADE,WARNBRO #2,2002-03-23,Halls Head 134 def SHOALWATER 89,BRIAN CULLEN,IAN BRAY,,5
2002,B Grade,B GRADE,WARNBRO #2,2002-03-23,Halls Head 134 def SHOALWATER 89,BRIAN CULLEN,JUSTIN LOCKYER,Yes,6
2002,B Grade,B GRADE,WARNBRO #2,2002-03-23,Halls Head 134 def SHOALWATER 89,BRIAN CULLEN,ROB LAWSON,,7
2002,B Grade,B GRADE,WARNBRO #2,2002-03-23,Halls Head 134 def SHOALWATER 89,BRIAN CULLEN,DON SKIPWORTH,,8
